event_id,timestamp,machine_id,operator_id,event_type,severity,risk_score,details,acknowledged
SE0001,2026-08-23 21:25:47,COM012,OP067,High Vibration,MEDIUM,75.7,Safety rule triggered: High Vibration recorded on COM012 during active shift.,True
SE0002,2026-09-02 20:52:47,WHE032,OP045,Overheating,HIGH,73.0,Safety rule triggered: Overheating recorded on WHE032 during active shift.,True
SE0003,2026-09-03 12:06:47,DUM041,OP030,Seatbelt Violation,HIGH,68.1,Safety rule triggered: Seatbelt Violation recorded on DUM041 during active shift.,True
SE0004,2026-09-23 08:28:47,WHE038,OP026,Proximity Hazard,CRITICAL,83.2,Safety rule triggered: Proximity Hazard recorded on WHE038 during active shift.,True
SE0005,2026-09-12 15:03:47,DUM047,OP020,Seatbelt Violation,HIGH,70.0,Safety rule triggered: Seatbelt Violation recorded on DUM047 during active shift.,True
SE0006,2026-09-06 23:19:47,DUM005,OP083,Seatbelt Violation,HIGH,69.9,Safety rule triggered: Seatbelt Violation recorded on DUM005 during active shift.,True
SE0007,2026-09-15 06:50:47,DOZ003,OP064,High Vibration,HIGH,79.0,Safety rule triggered: High Vibration recorded on DOZ003 during active shift.,True
SE0008,2026-09-10 14:06:47,EXC049,OP003,Overheating,MEDIUM,73.5,Safety rule triggered: Overheating recorded on EXC049 during active shift.,True
SE0009,2026-09-19 06:29:47,DOZ039,OP045,High Vibration,MEDIUM,72.4,Safety rule triggered: High Vibration recorded on DOZ039 during active shift.,True
SE0010,2026-09-09 16:02:47,DOZ015,OP025,Proximity Hazard,MEDIUM,86.3,Safety rule triggered: Proximity Hazard recorded on DOZ015 during active shift.,True
SE0011,2026-09-06 12:08:47,WHE008,OP082,Proximity Hazard,MEDIUM,78.4,Safety rule triggered: Proximity Hazard recorded on WHE008 during active shift.,True
SE0012,2026-09-22 19:40:47,DUM011,OP006,Excessive Idling,MEDIUM,42.2,Safety rule triggered: Excessive Idling recorded on DUM011 during active shift.,True
SE0013,2026-08-24 08:02:47,EXC013,OP003,High Vibration,HIGH,70.3,Safety rule triggered: High Vibration recorded on EXC013 during active shift.,True
SE0014,2026-09-02 22:13:47,COM012,OP050,High Fatigue,HIGH,70.0,Safety rule triggered: High Fatigue recorded on COM012 during active shift.,False
SE0015,2026-08-28 17:05:47,DUM017,OP090,Proximity Hazard,CRITICAL,78.8,Safety rule triggered: Proximity Hazard recorded on DUM017 during active shift.,True
SE0016,2026-09-07 15:00:47,COM024,OP031,Excessive Idling,MEDIUM,44.3,Safety rule triggered: Excessive Idling recorded on COM024 during active shift.,False
SE0017,2026-08-29 01:32:47,WHE002,OP090,High Fatigue,HIGH,62.1,Safety rule triggered: High Fatigue recorded on WHE002 during active shift.,True
SE0018,2026-08-28 14:46:47,DOZ045,OP012,Excessive Idling,MEDIUM,42.9,Safety rule triggered: Excessive Idling recorded on DOZ045 during active shift.,True
SE0019,2026-08-23 14:02:47,WHE020,OP051,High Fatigue,HIGH,70.9,Safety rule triggered: High Fatigue recorded on WHE020 during active shift.,True
SE0020,2026-09-01 19:45:47,COM024,OP053,Overheating,HIGH,73.5,Safety rule triggered: Overheating recorded on COM024 during active shift.,True
SE0021,2026-09-10 18:09:47,GRA004,OP093,High Fatigue,HIGH,69.8,Safety rule triggered: High Fatigue recorded on GRA004 during active shift.,True
SE0022,2026-09-03 02:18:47,WHE014,OP047,Excessive Idling,MEDIUM,43.3,Safety rule triggered: Excessive Idling recorded on WHE014 during active shift.,True
SE0023,2026-09-15 01:24:47,COM024,OP029,High Fatigue,HIGH,67.2,Safety rule triggered: High Fatigue recorded on COM024 during active shift.,True
SE0024,2026-09-10 14:18:47,DUM005,OP036,High Vibration,HIGH,76.0,Safety rule triggered: High Vibration recorded on DUM005 during active shift.,True
SE0025,2026-09-01 22:23:47,COM036,OP069,Excessive Idling,MEDIUM,47.5,Safety rule triggered: Excessive Idling recorded on COM036 during active shift.,True
SE0026,2026-09-02 03:32:47,DOZ033,OP026,High Fatigue,HIGH,63.0,Safety rule triggered: High Fatigue recorded on DOZ033 during active shift.,True
