timestamp,machine_id,operator_id,task_id,engine_hours,fuel_used_l,load_cycles,idling_time_min,engine_temperature,oil_pressure,hydraulic_pressure,engine_rpm,vibration,coolant_temperature,battery_voltage,load_weight,seatbelt_status,proximity_distance_m,worker_detected,safety_alert_triggered,fatigue_indicator,weather
2026-09-03 12:48:35,COM024,OP002,T0583,10898.5,17.7,8,6.2,80.6,40.8,289.9,1750.2,1.56,77.1,24.4,23.3,Fastened,21.3,False,False,0.11,Sunny
2026-09-03 12:51:23,DUM023,OP045,T0631,5286.8,17.7,16,58.4,83.5,37.2,275.4,1964.0,1.63,80.0,24.7,13.2,Fastened,19.1,False,False,0.25,Windy
2026-09-03 12:54:11,DUM029,OP072,T0180,960.8,25.8,23,0.8,107.4,45.0,285.7,1844.3,1.46,103.9,24.6,22.3,Fastened,7.9,False,True,0.34,Sunny
2026-09-03 12:56:59,WHE014,OP094,T1819,3395.3,13.7,14,3.6,89.5,41.3,307.4,1784.0,1.97,86.0,24.1,9.8,Fastened,20.7,False,False,0.06,Cloudy
2026-09-03 12:59:47,DUM029,OP095,T0852,960.9,10.7,15,5.3,84.2,37.7,290.6,1949.1,1.73,80.7,24.8,9.2,Fastened,18.1,False,False,0.05,Sunny
2026-09-03 13:02:35,DUM029,OP037,T0336,960.9,27.3,12,2.8,87.4,38.4,284.9,1902.3,1.59,83.9,23.7,13.8,Unfastened,14.1,False,True,0.17,Sunny
2026-09-03 13:05:23,DUM047,OP055,T1493,8342.5,29.1,20,10.0,91.2,43.3,293.2,1892.8,2.54,87.7,24.3,8.9,Fastened,14.1,False,False,0.1,Rainy
2026-09-03 13:08:11,DOZ027,OP018,T1712,3978.3,31.2,8,2.3,84.9,45.0,282.2,2066.1,1.25,81.4,24.2,15.9,Fastened,12.3,False,False,0.05,Sunny
2026-09-03 13:10:59,WHE038,OP077,T0177,6148.1,24.4,5,2.5,96.2,41.3,265.2,1790.7,1.3,92.7,24.3,9.1,Fastened,15.4,False,False,0.34,Cloudy
2026-09-03 13:13:47,GRA010,OP027,T0622,2697.3,8.8,8,0.3,84.1,44.0,297.1,1865.1,2.14,80.6,23.8,17.0,Fastened,24.9,False,False,0.27,Windy
2026-09-03 13:16:35,EXC031,OP068,T0687,1960.8,20.8,16,3.5,91.4,45.5,284.0,1820.8,1.98,87.9,24.7,23.1,Fastened,14.9,False,False,0.15,Storm
2026-09-03 13:19:23,DUM005,OP076,T1549,7583.3,23.5,6,8.7,92.7,41.3,279.8,1876.4,1.79,89.2,24.7,15.9,Fastened,12.3,False,False,0.1,Storm
2026-09-03 13:22:11,EXC025,OP012,T0014,6816.8,22.4,23,3.8,86.8,36.6,271.9,1650.5,1.56,83.3,24.5,15.4,Fastened,12.5,False,False,0.2,Storm
2026-09-03 13:24:59,DOZ027,OP082,T1873,3978.6,29.8,22,9.4,87.5,42.1,278.5,1881.7,1.83,84.0,25.1,10.4,Fastened,17.6,False,False,0.39,Sunny
2026-09-03 13:27:47,COM018,OP054,T0359,1168.8,23.8,9,0.8,106.6,41.6,282.5,1849.6,1.8,103.1,24.7,14.3,Fastened,8.2,False,True,0.14,Rainy
2026-09-03 13:30:35,COM036,OP060,T1455,3403.7,19.6,14,0.3,89.1,44.3,274.1,1702.1,1.71,85.6,24.0,12.6,Fastened,13.1,False,False,0.05,Sunny
2026-09-03 13:33:23,EXC037,OP097,T1874,4619.0,29.9,24,4.2,82.3,43.7,279.3,1886.0,1.74,78.8,24.6,18.6,Fastened,12.6,False,False,0.05,Windy
2026-09-03 13:36:11,DOZ009,OP026,T0381,2454.9,28.9,11,4.6,82.4,40.5,274.0,1783.6,2.1,78.9,24.6,10.0,Fastened,7.1,False,False,0.15,Sunny
2026-09-03 13:38:59,EXC025,OP038,T1135,6817.1,21.6,16,5.1,88.7,41.7,265.8,1836.0,1.79,85.2,25.0,17.5,Fastened,8.8,False,False,0.2,Sunny
2026-09-03 13:41:47,WHE032,OP006,T1686,602.1,14.4,15,47.7,88.8,40.2,275.4,1882.1,1.79,85.3,24.1,10.5,Fastened,14.6,False,False,0.13,Cloudy
2026-09-03 13:44:35,WHE020,OP075,T0623,3404.8,21.8,19,0.1,84.8,34.5,267.5,1897.0,1.66,81.3,24.2,23.8,Fastened,22.8,False,False,0.06,Storm
2026-09-03 13:47:23,WHE032,OP072,T1516,602.2,26.7,11,7.3,84.0,38.5,272.7,1811.2,1.43,80.5,24.4,21.3,Fastened,16.9,False,False,0.08,Sunny
2026-09-03 13:50:11,COM030,OP029,T0055,2614.5,28.5,20,11.0,88.7,42.7,270.6,1932.8,1.19,85.2,23.9,21.1,Fastened,3.8,True,False,0.45,Sunny
2026-09-03 13:52:59,EXC001,OP020,T0538,2151.2,20.3,15,24.3,86.4,42.2,265.3,1743.7,2.05,82.9,23.5,23.8,Unfastened,18.8,False,True,0.28,Windy
2026-09-03 13:55:47,WHE020,OP082,T1709,3404.9,18.2,8,14.8,85.1,44.2,257.4,1737.6,1.46,81.6,24.3,16.6,Fastened,23.1,False,False,0.09,Rainy
2026-09-03 13:58:35,DUM041,OP061,T0255,2450.6,28.4,24,1.8,94.5,41.9,293.7,1937.3,2.08,91.0,24.0,17.8,Fastened,24.0,False,False,0.05,Sunny
2026-09-03 14:01:23,COM042,OP086,T1829,538.9,20.7,15,3.2,90.6,43.6,276.5,1904.0,2.13,87.1,25.3,15.9,Fastened,20.6,False,False,0.05,Cloudy
2026-09-03 14:04:11,EXC019,OP054,T0368,4089.7,15.5,13,0.5,88.8,48.1,284.9,1629.2,1.61,85.3,24.4,9.4,Fastened,8.7,False,False,0.05,Sunny
2026-09-03 14:06:59,WHE032,OP089,T1321,602.6,23.0,22,1.9,78.6,48.6,267.6,1769.9,1.62,75.1,24.1,22.5,Fastened,16.9,False,False,0.41,Sunny
2026-09-03 14:09:47,GRA016,OP004,T0245,2984.0,23.6,5,16.9,83.7,42.4,289.8,1806.2,1.56,80.2,24.5,9.0,Fastened,20.2,False,False,0.24,Sunny
2026-09-03 14:12:35,EXC049,OP036,T1010,7134.2,20.9,16,5.0,85.0,44.3,266.8,1903.4,1.65,81.5,24.3,17.3,Fastened,12.1,False,False,0.05,Sunny
2026-09-03 14:15:23,DUM005,OP077,T1527,7584.3,9.7,5,1.7,90.6,44.3,280.7,1841.0,1.91,87.1,24.5,15.7,Fastened,23.6,False,False,0.05,Rainy
2026-09-03 14:18:11,COM024,OP075,T0985,10900.1,13.2,6,2.1,84.6,40.2,297.5,1924.1,2.05,81.1,24.5,18.2,Fastened,13.1,False,False,0.05,Sunny
2026-09-03 14:20:59,EXC037,OP056,T1779,4619.8,12.2,18,7.1,85.6,45.0,269.0,1903.6,1.68,82.1,24.3,19.9,Fastened,24.8,False,False,0.05,Sunny
2026-09-03 14:23:47,DUM017,OP081,T1405,1825.2,19.4,18,14.9,88.2,43.1,293.3,2006.6,1.59,84.7,24.5,9.9,Fastened,14.9,False,False,0.05,Sunny
2026-09-03 14:26:35,EXC031,OP089,T1676,1962.1,13.3,14,1.8,89.9,44.4,294.3,1727.2,1.37,86.4,24.5,22.3,Fastened,18.3,False,False,0.16,Sunny
2026-09-03 14:29:23,WHE008,OP048,T1050,6643.9,14.0,12,10.6,91.5,45.6,294.7,1972.3,2.0,88.0,24.2,12.8,Fastened,1.7,True,True,0.13,Sunny
