progress_id,operator_id,course_id,completion_status,score,attempts,completed_at
PRG0001,OP013,TRN001,Not Started,0.0,0,
PRG0002,OP091,TRN001,In Progress,0.0,1,
PRG0003,OP046,TRN003,Not Started,0.0,0,
PRG0004,OP007,TRN005,In Progress,0.0,1,
PRG0005,OP082,TRN006,Completed,94.3,1,2026-09-05 12:45:47
PRG0006,OP020,TRN002,In Progress,0.0,1,
PRG0007,OP044,TRN004,In Progress,0.0,1,
PRG0008,OP010,TRN001,Completed,77.9,1,2026-08-30 12:45:47
PRG0009,OP048,TRN001,Completed,87.5,1,2026-09-02 12:45:47
PRG0010,OP030,TRN005,Completed,98.8,1,2026-08-22 12:45:47
PRG0011,OP099,TRN005,Completed,82.0,1,2026-08-16 12:45:47
PRG0012,OP012,TRN002,In Progress,0.0,1,
PRG0013,OP003,TRN003,Completed,98.7,1,2026-08-07 12:45:47
PRG0014,OP089,TRN003,In Progress,0.0,1,
PRG0015,OP098,TRN001,Not Started,0.0,0,
PRG0016,OP015,TRN003,Not Started,0.0,0,
PRG0017,OP097,TRN003,In Progress,0.0,1,
PRG0018,OP064,TRN001,Not Started,0.0,0,
PRG0019,OP056,TRN002,Completed,99.8,1,2026-08-21 12:45:47
PRG0020,OP081,TRN006,Completed,80.8,1,2026-09-05 12:45:47
PRG0021,OP053,TRN002,Completed,98.1,1,2026-07-31 12:45:47
PRG0022,OP056,TRN001,Not Started,0.0,0,
PRG0023,OP018,TRN001,In Progress,0.0,1,
PRG0024,OP092,TRN004,Completed,85.7,1,2026-09-02 12:45:47
PRG0025,OP017,TRN001,Completed,83.7,1,2026-08-24 12:45:47
PRG0026,OP056,TRN001,In Progress,0.0,1,
PRG0027,OP006,TRN003,Completed,87.8,1,2026-09-19 12:45:47
PRG0028,OP041,TRN005,Not Started,0.0,0,
PRG0029,OP065,TRN003,Not Started,0.0,0,
PRG0030,OP077,TRN004,Not Started,0.0,0,
PRG0031,OP010,TRN003,Completed,84.3,1,2026-08-10 12:45:47
PRG0032,OP028,TRN006,Not Started,0.0,0,
PRG0033,OP004,TRN005,Completed,75.7,1,2026-08-06 12:45:47
PRG0034,OP098,TRN005,Completed,81.4,1,2026-09-16 12:45:47
PRG0035,OP006,TRN001,In Progress,0.0,1,
PRG0036,OP098,TRN004,Completed,93.2,1,2026-07-30 12:45:47
PRG0037,OP007,TRN006,Completed,89.1,1,2026-08-15 12:45:47
PRG0038,OP020,TRN004,Completed,75.4,1,2026-08-19 12:45:47
PRG0039,OP077,TRN002,Completed,86.4,1,2026-09-05 12:45:47
PRG0040,OP051,TRN006,Completed,97.3,1,2026-08-29 12:45:47
PRG0041,OP032,TRN005,Completed,89.6,1,2026-08-27 12:45:47
PRG0042,OP066,TRN004,In Progress,0.0,1,
PRG0043,OP012,TRN005,In Progress,0.0,1,
PRG0044,OP054,TRN005,Completed,78.5,1,2026-08-31 12:45:47
PRG0045,OP081,TRN001,Not Started,0.0,0,
PRG0046,OP043,TRN004,Completed,77.8,1,2026-08-29 12:45:47
PRG0047,OP062,TRN002,Completed,98.2,1,2026-09-22 12:45:47
PRG0048,OP062,TRN002,Not Started,0.0,0,
PRG0049,OP021,TRN001,Completed,84.5,1,2026-08-10 12:45:47
PRG0050,OP086,TRN003,Not Started,0.0,0,
PRG0051,OP020,TRN006,Completed,95.2,1,2026-08-24 12:45:47
PRG0052,OP027,TRN003,Not Started,0.0,0,
PRG0053,OP037,TRN001,Not Started,0.0,0,
PRG0054,OP067,TRN002,Completed,79.1,1,2026-08-19 12:45:47
PRG0055,OP029,TRN001,Not Started,0.0,0,
PRG0056,OP078,TRN004,In Progress,0.0,1,
PRG0057,OP014,TRN006,In Progress,0.0,1,
PRG0058,OP045,TRN003,Completed,93.3,1,2026-08-27 12:45:47
PRG0059,OP060,TRN001,In Progress,0.0,1,
PRG0060,OP050,TRN004,In Progress,0.0,1,
PRG0061,OP073,TRN001,Not Started,0.0,0,
PRG0062,OP049,TRN005,Not Started,0.0,0,
PRG0063,OP058,TRN003,Completed,89.1,1,2026-07-29 12:45:47
PRG0064,OP072,TRN003,Not Started,0.0,0,
PRG0065,OP013,TRN001,Not Started,0.0,0,
PRG0066,OP039,TRN003,Not Started,0.0,0,
PRG0067,OP006,TRN003,In Progress,0.0,1,
PRG0068,OP052,TRN002,In Progress,0.0,1,
PRG0069,OP032,TRN001,Completed,89.3,1,2026-07-26 12:45:47
PRG0070,OP081,TRN006,Not Started,0.0,0,
PRG0071,OP027,TRN005,Completed,84.1,1,2026-09-21 12:45:47
PRG0072,OP093,TRN001,Completed,87.9,1,2026-08-31 12:45:47
PRG0073,OP068,TRN003,Not Started,0.0,0,
PRG0074,OP043,TRN002,Completed,80.1,1,2026-08-04 12:45:47
PRG0075,OP061,TRN006,Not Started,0.0,0,
PRG0076,OP062,TRN002,Completed,81.3,1,2026-08-10 12:45:47
PRG0077,OP026,TRN001,Not Started,0.0,0,
PRG0078,OP064,TRN006,Not Started,0.0,0,
PRG0079,OP014,TRN005,Completed,97.0,1,2026-07-31 12:45:47
PRG0080,OP054,TRN001,In Progress,0.0,1,
PRG0081,OP037,TRN005,Not Started,0.0,0,
PRG0082,OP087,TRN002,Completed,90.8,1,2026-07-30 12:45:47
PRG0083,OP014,TRN002,In Progress,0.0,1,
PRG0084,OP086,TRN001,Completed,97.9,1,2026-08-30 12:45:47
PRG0085,OP038,TRN003,In Progress,0.0,1,
PRG0086,OP004,TRN006,Completed,89.2,1,2026-09-01 12:45:47
PRG0087,OP038,TRN005,Completed,99.6,1,2026-08-21 12:45:47
PRG0088,OP096,TRN006,Completed,76.7,1,2026-08-11 12:45:47
PRG0089,OP073,TRN005,Completed,77.0,1,2026-08-17 12:45:47
PRG0090,OP064,TRN004,Not Started,0.0,0,
PRG0091,OP031,TRN005,Not Started,0.0,0,
PRG0092,OP018,TRN003,Not Started,0.0,0,
PRG0093,OP013,TRN004,Completed,94.4,1,2026-09-22 12:45:47
PRG0094,OP026,TRN003,Completed,79.9,1,2026-08-20 12:45:47
PRG0095,OP029,TRN006,Completed,81.8,1,2026-09-21 12:45:47
PRG0096,OP004,TRN005,Completed,91.1,1,2026-09-04 12:45:47
PRG0097,OP029,TRN003,Completed,98.9,1,2026-08-14 12:45:47
PRG0098,OP040,TRN005,Completed,92.5,1,2026-09-21 12:45:47
PRG0099,OP063,TRN006,In Progress,0.0,1,
PRG0100,OP014,TRN004,Not Started,0.0,0,
PRG0101,OP041,TRN003,Not Started,0.0,0,
PRG0102,OP097,TRN004,Completed,84.9,1,2026-08-21 12:45:47
PRG0103,OP080,TRN004,Completed,80.8,1,2026-08-31 12:45:47
PRG0104,OP013,TRN005,Not Started,0.0,0,
PRG0105,OP021,TRN002,In Progress,0.0,1,
PRG0106,OP020,TRN004,In Progress,0.0,1,
PRG0107,OP081,TRN004,Completed,92.7,1,2026-09-22 12:45:47
PRG0108,OP022,TRN002,Completed,83.3,1,2026-09-20 12:45:47
PRG0109,OP017,TRN002,In Progress,0.0,1,
PRG0110,OP005,TRN003,Not Started,0.0,0,
PRG0111,OP096,TRN004,Not Started,0.0,0,
PRG0112,OP014,TRN002,In Progress,0.0,1,
PRG0113,OP011,TRN006,In Progress,0.0,1,
PRG0114,OP067,TRN005,Completed,88.6,1,2026-08-01 12:45:47
PRG0115,OP034,TRN001,Completed,91.1,1,2026-08-04 12:45:47
PRG0116,OP065,TRN001,In Progress,0.0,1,
PRG0117,OP009,TRN004,Not Started,0.0,0,
PRG0118,OP056,TRN001,Completed,89.2,1,2026-07-30 12:45:47
PRG0119,OP024,TRN002,Completed,94.6,1,2026-08-22 12:45:47
PRG0120,OP068,TRN005,In Progress,0.0,1,
PRG0121,OP099,TRN003,Not Started,0.0,0,
PRG0122,OP082,TRN005,Completed,92.0,1,2026-08-16 12:45:47
PRG0123,OP072,TRN004,Completed,89.3,1,2026-08-27 12:45:47
PRG0124,OP011,TRN003,Completed,97.2,1,2026-08-23 12:45:47
PRG0125,OP051,TRN005,In Progress,0.0,1,
PRG0126,OP071,TRN003,In Progress,0.0,1,
PRG0127,OP039,TRN002,Completed,91.8,1,2026-09-13 12:45:47
PRG0128,OP021,TRN003,Completed,99.6,1,2026-09-06 12:45:47
PRG0129,OP069,TRN005,Not Started,0.0,0,
PRG0130,OP025,TRN006,Completed,96.5,1,2026-09-07 12:45:47
PRG0131,OP060,TRN002,Not Started,0.0,0,
PRG0132,OP010,TRN003,In Progress,0.0,1,
PRG0133,OP006,TRN002,Completed,97.5,1,2026-07-31 12:45:47
PRG0134,OP015,TRN005,Completed,75.8,1,2026-08-09 12:45:47
PRG0135,OP020,TRN004,Not Started,0.0,0,
PRG0136,OP081,TRN005,Completed,96.8,1,2026-07-26 12:45:47
PRG0137,OP034,TRN001,Completed,98.2,1,2026-08-11 12:45:47
PRG0138,OP074,TRN004,Completed,81.0,1,2026-08-29 12:45:47
PRG0139,OP011,TRN001,In Progress,0.0,1,
PRG0140,OP059,TRN001,Completed,97.0,1,2026-07-31 12:45:47
PRG0141,OP014,TRN005,Completed,79.5,1,2026-08-07 12:45:47
PRG0142,OP041,TRN004,Completed,89.4,1,2026-07-28 12:45:47
PRG0143,OP039,TRN006,Not Started,0.0,0,
PRG0144,OP053,TRN005,Completed,75.5,1,2026-09-04 12:45:47
PRG0145,OP009,TRN001,Completed,93.8,1,2026-09-06 12:45:47
PRG0146,OP011,TRN003,Completed,95.2,1,2026-09-10 12:45:47
PRG0147,OP097,TRN001,Completed,94.5,1,2026-09-15 12:45:47
PRG0148,OP072,TRN006,Completed,98.3,1,2026-09-03 12:45:47
PRG0149,OP002,TRN003,Completed,97.4,1,2026-08-09 12:45:47
PRG0150,OP091,TRN002,Completed,99.3,1,2026-09-02 12:45:47
PRG0151,OP082,TRN001,Not Started,0.0,0,
PRG0152,OP076,TRN006,Completed,79.2,1,2026-09-03 12:45:47
PRG0153,OP040,TRN004,Completed,90.6,1,2026-08-21 12:45:47
PRG0154,OP047,TRN004,Completed,94.9,1,2026-08-17 12:45:47
PRG0155,OP096,TRN003,Completed,81.6,1,2026-08-02 12:45:47
PRG0156,OP050,TRN004,Completed,96.4,1,2026-09-04 12:45:47
PRG0157,OP085,TRN005,Not Started,0.0,0,
PRG0158,OP068,TRN002,Completed,82.6,1,2026-09-21 12:45:47
PRG0159,OP026,TRN001,In Progress,0.0,1,
PRG0160,OP046,TRN004,In Progress,0.0,1,
PRG0161,OP041,TRN004,Completed,98.6,1,2026-08-05 12:45:47
PRG0162,OP020,TRN004,In Progress,0.0,1,
PRG0163,OP085,TRN004,In Progress,0.0,1,
PRG0164,OP007,TRN004,In Progress,0.0,1,
PRG0165,OP004,TRN002,Completed,90.0,1,2026-07-30 12:45:47
PRG0166,OP058,TRN003,In Progress,0.0,1,
PRG0167,OP080,TRN006,Not Started,0.0,0,
PRG0168,OP001,TRN005,Completed,98.5,1,2026-09-07 12:45:47
PRG0169,OP078,TRN001,Completed,77.0,1,2026-08-28 12:45:47
PRG0170,OP096,TRN005,In Progress,0.0,1,
PRG0171,OP012,TRN002,Not Started,0.0,0,
PRG0172,OP039,TRN001,Completed,91.6,1,2026-07-31 12:45:47
PRG0173,OP050,TRN001,Completed,79.1,1,2026-09-12 12:45:47
PRG0174,OP055,TRN004,In Progress,0.0,1,
PRG0175,OP030,TRN001,Completed,92.9,1,2026-08-31 12:45:47
PRG0176,OP063,TRN004,Completed,98.6,1,2026-09-17 12:45:47
PRG0177,OP088,TRN001,Completed,87.9,1,2026-09-21 12:45:47
PRG0178,OP069,TRN005,Not Started,0.0,0,
PRG0179,OP083,TRN003,In Progress,0.0,1,
PRG0180,OP053,TRN001,Completed,87.0,1,2026-09-02 12:45:47
PRG0181,OP029,TRN004,Completed,97.4,1,2026-08-29 12:45:47
PRG0182,OP037,TRN001,Completed,76.4,1,2026-09-05 12:45:47
PRG0183,OP057,TRN003,Not Started,0.0,0,
PRG0184,OP060,TRN005,In Progress,0.0,1,
PRG0185,OP072,TRN004,In Progress,0.0,1,
PRG0186,OP066,TRN003,Completed,82.7,1,2026-08-24 12:45:47
PRG0187,OP002,TRN006,Completed,76.7,1,2026-08-28 12:45:47
PRG0188,OP014,TRN001,Completed,94.4,1,2026-07-26 12:45:47
PRG0189,OP059,TRN004,Completed,77.9,1,2026-08-05 12:45:47
PRG0190,OP010,TRN004,Not Started,0.0,0,
PRG0191,OP098,TRN002,Not Started,0.0,0,
PRG0192,OP041,TRN005,In Progress,0.0,1,
PRG0193,OP077,TRN002,Completed,91.3,1,2026-08-01 12:45:47
PRG0194,OP005,TRN004,Completed,85.1,1,2026-09-15 12:45:47
PRG0195,OP010,TRN004,Completed,80.7,1,2026-08-17 12:45:47
PRG0196,OP091,TRN004,Completed,83.6,1,2026-09-20 12:45:47
PRG0197,OP036,TRN005,Completed,89.6,1,2026-09-12 12:45:47
PRG0198,OP012,TRN003,In Progress,0.0,1,
PRG0199,OP038,TRN001,In Progress,0.0,1,
PRG0200,OP043,TRN005,Not Started,0.0,0,
PRG0201,OP058,TRN003,Completed,95.6,1,2026-09-08 12:45:47
PRG0202,OP030,TRN006,In Progress,0.0,1,
PRG0203,OP085,TRN005,Not Started,0.0,0,
PRG0204,OP090,TRN003,In Progress,0.0,1,
PRG0205,OP021,TRN002,Completed,75.8,1,2026-08-23 12:45:47
PRG0206,OP100,TRN006,Completed,84.0,1,2026-08-01 12:45:47
PRG0207,OP028,TRN006,Completed,81.5,1,2026-08-30 12:45:47
PRG0208,OP032,TRN001,Completed,83.9,1,2026-09-03 12:45:47
PRG0209,OP080,TRN006,Completed,91.3,1,2026-08-29 12:45:47
PRG0210,OP081,TRN004,In Progress,0.0,1,
PRG0211,OP028,TRN006,Not Started,0.0,0,
PRG0212,OP092,TRN001,Not Started,0.0,0,
PRG0213,OP083,TRN004,Completed,82.4,1,2026-09-16 12:45:47
PRG0214,OP059,TRN002,In Progress,0.0,1,
PRG0215,OP098,TRN004,Completed,93.0,1,2026-09-05 12:45:47
PRG0216,OP065,TRN004,Completed,96.8,1,2026-07-25 12:45:47
PRG0217,OP026,TRN006,In Progress,0.0,1,
PRG0218,OP068,TRN004,In Progress,0.0,1,
PRG0219,OP085,TRN002,Completed,92.9,1,2026-07-29 12:45:47
PRG0220,OP062,TRN006,Not Started,0.0,0,
PRG0221,OP071,TRN004,Completed,92.0,1,2026-09-06 12:45:47
PRG0222,OP090,TRN001,Completed,93.7,1,2026-09-05 12:45:47
PRG0223,OP074,TRN002,Completed,78.2,1,2026-07-27 12:45:47
PRG0224,OP098,TRN004,Not Started,0.0,0,
